Chemical_Group,Analyte,Matrix,Cycle,Ages,File,Variable,Weights,LOD,Units,LOD_Code,NA_Code,NS_Code,UL_Code,Convert_Units,Convert_Factor
acrylamide,acrylamide haemoglobin adduct,blood,3,3-79,ACRY,LAB_ACRY,WGT_ACRY,11,pmol/g Hb,995,996,999,,,
acrylamide,acrylamide haemoglobin adduct,blood,4,3-79,ACRY,LAB_ACRY,WGT_ACRY,11,pmol/g Hb,9995,9996,9999,,,
acrylamide,acrylamide haemoglobin adduct,blood,5,3-79,ACP,LAB_ACRY,WGT_ACP,11,pmol/g Hb,9995,9996,9999,,,
acrylamide,acrylamide haemoglobin adduct,blood,6,3-79,ACP,LAB_ACRY,WGT_ACP,11,pmol/g Hb,9995,9996,9999,,,
acrylamide,glycidamide haemoglobin adduct,blood,3,3-79,ACRY,LAB_GHA,WGT_ACRY,23,pmol/g Hb,995,996,999,,,
acrylamide,glycidamide haemoglobin adduct,blood,4,3-79,ACRY,LAB_GHA,WGT_ACRY,23,pmol/g Hb,9995,9996,9999,,,
acrylamide,glycidamide haemoglobin adduct,blood,5,3-79,ACP,LAB_GHA,WGT_ACP,23,pmol/g Hb,9995,9996,9999,,,
acrylamide,glycidamide haemoglobin adduct,blood,6,3-79,ACP,LAB_GHA,WGT_ACP,23,pmol/g Hb,9995,9996,9999,,,
chlorophenols,"2,4-dichlorophenol (2,4-DCP)",urine,1,6-79,HCLS,LAB_24DC,WGT_FULL,0.3,µg/L,999.999995,999.999996,999.999999,,,
chlorophenols,"2,4-dichlorophenol (2,4-DCP)",urine,2,3-79,EU,LAB_24DC,WGT_EU,0.3,µg/L,9999.95,9999.96,9999.99,,,
chlorophenols,"2,5-dichlorophenol (2,5-DCP)",urine,2,3-79,EU,LAB_25D,WGT_EU,0.3,µg/L,999999.95,999999.96,999999.99,,,
chlorophenols,"2,4,5-trichlorophenol (2,4,5-TCP)",urine,2,3-79,EU,LAB_245T,WGT_EU,0.5,µg/L,999.95,999.96,999.99,,,
chlorophenols,"2,4,6-trichlorophenol (2,4,6-TCP)",urine,2,3-79,EU,LAB_246T,WGT_EU,1,µg/L,999.5,999.6,999.9,,,
chlorophenols,pentachlorophenol (PCP),urine,2,3-79,EU,LAB_PCP,WGT_EU,0.7,µg/L,9999.5,9999.6,9999.9,,,
creatinine,creatinine,urine,1,6-79,HCLS,LAB_UCRE,WGT_FULL,0.3,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,2,3-79,HCL,LAB_UCRE,WGT_FULL,0.4,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,3,3-79,NEL,LAB_UCRE,WGT_FULL,0.44,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,4,3-79,NEL,LAB_UCRE,WGT_FULL,0.44,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,5,3-79,NEL,LAB_UCRE,WGT_FULL,0.44,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
creatinine,creatinine,urine,6,3-79,NEL,LAB_UCRE,WGT_FULL,0.23,mmol/L,99.95,99.96,99.99,,mg/dL,× 11.312
